Date,Transect,Meter,habitat.type,bare.ground,rock,gr.lf.gram,gr.lf.forbs,seed,br.lf.gram,br.lf.forbs,gr.stem.gram,gr.stem.forbs,br.stem.gram,br.stem.forbs,shrub.green,shrub.brown,height,ht.cat
2/10/2015,1,20,grassland,0,0,0,0,0,10,0,0,0,0,0,0,0,1.9,grass
2/10/2015,1,21,grassland,0,0,2,17,0,3,5,0,3,0,0,0,0,16.5,forb
2/10/2015,1,22,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,1,23,grassland,0,0,0,0,0,0,0,0,0,0,2,0,0,0.8,forb
2/10/2015,1,24,grassland,0,0,1,0,0,12,0,0,0,2,0,0,0,2.3,grass
2/10/2015,1,25,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,2,1,forest,0,0,4,0,0,6,0,1,0,0,0,0,0,6.1,grass
2/10/2015,2,2,forest,0,0,0,0,0,4,0,0,0,0,0,0,0,1.5,grass
2/10/2015,2,3,forest,0,0,6,0,0,25,0,0,0,1,0,0,0,14,grass
2/10/2015,2,4,forest,0,0,7,0,0,38,0,0,0,1,0,0,0,13.8,grass
2/10/2015,2,5,forest,0,0,3,0,0,26,0,0,0,0,0,0,0,11.1,grass
2/10/2015,2,6,forest,0,0,2,0,0,17,0,0,0,0,0,0,0,20,grass
2/10/2015,2,7,forest,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,2,8,forest,0,0,0,2,0,9,0,0,1,0,0,0,0,28.2,forb
2/10/2015,2,9,forest,0,0,0,2,0,17,0,0,0,0,0,0,0,5.8,forb
2/10/2015,2,10,forest,0,0,7,0,0,4,0,0,0,0,0,0,0,30.1,grass
2/10/2015,2,11,forest,0,0,5,2,0,8,4,0,0,0,0,0,0,11.5,forb
2/10/2015,2,12,forest,0,0,3,0,0,2,0,0,0,1,0,0,0,7.5,grass
2/10/2015,2,13,forest,0,0,0,0,0,2,0,0,0,0,0,0,0,1.2,grass
2/10/2015,2,14,forest,0,0,6,0,0,13,0,0,0,0,0,1,0,25.7,grass
2/10/2015,2,15,forest,0,0,0,1,0,0,0,0,1,0,0,0,0,11,forb
2/10/2015,2,16,forest,0,0,7,1,0,6,0,0,0,0,0,0,0,17,forb
2/10/2015,2,17,forest,0,0,6,0,0,10,0,0,1,0,1,0,0,3.8,grass
2/10/2015,2,18,forest,0,0,6,0,0,4,0,0,2,0,0,2,0,16.5,grass
2/10/2015,2,19,forest,0,0,7,0,0,6,0,0,1,0,0,0,0,20.4,forb
2/10/2015,2,20,forest,0,0,0,0,0,0,1,0,0,0,1,0,0,1,forb
2/10/2015,2,21,forest,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,2,22,forest,0,0,8,0,0,3,0,0,0,0,0,0,0,14,grass
2/10/2015,2,23,forest,0,0,2,1,0,1,1,0,1,0,1,0,0,6,forb
2/10/2015,2,24,forest,0,0,0,1,0,0,0,0,2,0,3,0,0,7.3,forb
2/10/2015,2,25,forest,0,0,0,1,0,0,0,0,1,0,0,0,0,5.1,forb
2/10/2015,3,1,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,3,2,grassland,0,0,3,0,0,30,0,0,0,1,0,0,0,19.5,grass
2/10/2015,3,3,grassland,0,0,3,1,0,12,0,0,0,0,0,0,0,19.8,grass
2/10/2015,3,4,grassland,0,0,4,2,0,18,0,0,0,0,1,0,0,17,grass
2/10/2015,3,5,grassland,0,0,2,0,0,40,0,0,0,1,0,0,0,18.5,grass
2/10/2015,3,6,grassland,0,0,5,2,0,34,0,0,1,0,0,0,0,30,grass
2/10/2015,3,7,grassland,0,0,0,2,0,0,0,0,0,0,0,0,0,0.9,forb
2/10/2015,3,8,grassland,0,0,0,0,0,12,0,0,0,1,0,0,0,14.6,grass
2/10/2015,3,9,grassland,0,0,8,0,0,50,0,0,0,0,0,0,0,25.5,grass
2/10/2015,3,10,grassland,0,0,3,0,0,25,0,0,0,2,0,0,0,19.7,grass
2/10/2015,3,11,grassland,0,0,0,5,0,7,2,0,0,0,1,0,0,18,grass
2/10/2015,3,12,grassland,0,0,1,0,0,22,0,0,0,1,0,0,0,14,grass
2/10/2015,3,13,grassland,0,0,0,0,0,9,1,0,0,1,0,0,0,18.7,grass
2/10/2015,3,14,grassland,0,0,0,3,0,15,0,0,0,2,0,0,0,8.3,grass
2/10/2015,3,15,grassland,0,0,2,0,0,18,0,0,0,0,0,0,0,17.8,grass
2/10/2015,3,16,grassland,0,0,3,0,0,16,0,0,0,0,0,0,0,16.9,grass
2/10/2015,3,17,grassland,0,0,2,0,0,6,0,0,0,0,0,0,0,4.1,grass
2/10/2015,3,18,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,3,19,grassland,0,0,15,0,0,60,0,1,0,1,0,0,0,19.4,grass
2/10/2015,3,20,grassland,0,0,2,0,0,20,0,0,0,2,0,0,0,17.5,grass
2/10/2015,3,21,grassland,0,0,4,0,0,19,0,0,0,0,0,0,0,14,grass
2/10/2015,3,22,grassland,0,0,0,0,0,0,4,0,0,0,0,0,0,9.4,forb
2/10/2015,3,23,grassland,0,0,0,0,0,4,0,0,0,0,1,0,0,3.6,grass
2/10/2015,3,24,grassland,0,0,0,0,0,5,0,0,0,0,0,0,0,2,forb
2/10/2015,3,25,grassland,0,0,0,0,0,20,0,0,0,0,1,0,0,1.3,grass
2/10/2015,19,1,grassland,0,0,0,9,0,2,0,0,0,0,0,0,0,3.6,forb
2/10/2015,19,2,grassland,0,0,0,0,0,0,0,0,0,0,2,0,0,0,forb
2/10/2015,19,3,grassland,0,0,0,0,0,0,0,0,0,0,4,0,0,5,forb
2/10/2015,19,4,grassland,0,0,0,7,0,6,0,0,0,1,1,0,0,5.2,forb
2/10/2015,19,5,grassland,0,0,0,0,0,3,0,0,0,0,1,0,0,0.5,forb
2/10/2015,19,6,grassland,0,0,0,8,0,4,0,0,1,0,0,0,0,2,forb
2/10/2015,19,7,grassland,0,0,0,0,0,12,0,0,1,0,0,1,0,6,grass
2/10/2015,19,8,grassland,0,0,0,7,0,4,4,0,1,0,2,0,0,7.9,forb
2/10/2015,19,9,grassland,0,0,0,0,0,11,0,0,0,1,0,0,0,1.9,grass
2/10/2015,19,10,grassland,0,0,2,2,0,7,0,1,0,1,0,0,0,1.7,grass
2/10/2015,19,11,grassland,0,0,0,3,0,15,0,0,0,1,0,0,0,3.3,grass
2/10/2015,19,12,grassland,0,0,1,0,0,10,0,0,0,1,0,0,0,1.8,grass
2/10/2015,19,13,grassland,0,0,6,0,0,12,0,0,0,2,0,0,0,2.9,grass
2/10/2015,19,14,grassland,0,0,0,0,0,9,0,0,0,0,0,0,0,1.3,grass
2/10/2015,19,15,grassland,0,0,0,0,0,4,0,0,0,1,0,0,0,0.4,grass
2/10/2015,19,16,grassland,0,0,2,4,0,3,0,0,0,0,0,0,0,2.6,forb
2/10/2015,19,17,grassland,0,0,0,0,0,3,0,0,0,1,0,0,0,0.7,grass
2/10/2015,19,18,grassland,0,0,0,0,0,18,2,2,0,1,0,0,0,6.2,forb
2/10/2015,19,19,grassland,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,grass
2/10/2015,19,20,grassland,0,0,0,0,0,5,0,0,0,0,0,0,0,0.5,grass
2/10/2015,19,21,grassland,0,0,0,8,0,0,0,0,0,0,2,0,0,4,forb
2/10/2015,19,22,grassland,0,0,0,0,0,4,0,0,0,0,0,0,0,1.4,grass
2/10/2015,19,23,grassland,0,0,1,8,0,11,2,0,1,1,1,0,0,7.3,forb
2/10/2015,19,24,grassland,0,0,0,0,0,1,0,0,0,0,2,0,0,1.4,forb
2/10/2015,19,25,grassland,0,0,0,0,0,5,0,0,0,0,0,0,0,2.6,grass
2/11/2015,10,1,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,10,2,shrubland,0,0,0,0,0,3,0,0,0,0,0,0,0,1.3,grass
2/11/2015,10,3,shrubland,0,0,0,0,0,2,0,0,0,0,0,0,0,0.9,grass
2/11/2015,10,4,shrubland,0,0,0,0,0,2,0,0,0,1,0,0,0,1.3,grass
2/11/2015,10,5,shrubland,0,0,0,0,0,8,0,0,0,0,0,0,0,1.6,grass
2/11/2015,10,6,shrubland,0,0,0,0,0,9,0,0,0,1,0,0,0,1.5,grass
2/11/2015,10,7,shrubland,0,0,1,0,0,12,0,0,0,3,0,0,0,2.1,grass
2/11/2015,10,8,shrubland,0,0,2,0,0,10,0,0,0,0,0,0,0,2.9,grass
2/11/2015,10,9,shrubland,0,0,3,0,0,16,0,0,0,0,1,0,0,3,grass
2/11/2015,10,10,shrubland,0,0,0,1,0,0,1,0,0,0,0,0,0,1.2,forb
2/11/2015,10,11,shrubland,0,0,0,0,0,0,0,0,0,0,2,1,0,3.5,forb
2/11/2015,10,12,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,10,13,shrubland,0,0,6,1,0,0,0,1,0,0,0,0,0,2,grass
2/11/2015,10,14,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,10,15,shrubland,0,0,0,2,0,0,0,0,0,0,0,0,0,0.4,forb
2/11/2015,10,16,shrubland,0,0,4,1,0,0,0,0,0,1,0,0,0,0.7,forb
2/11/2015,10,17,shrubland,0,0,0,1,0,3,0,0,0,1,0,0,0,3.4,grass
2/11/2015,10,18,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,10,19,shrubland,0,0,0,0,0,0,0,0,0,0,1,0,0,0,forb
2/11/2015,10,20,shrubland,0,0,0,0,0,5,0,0,0,0,0,0,0,1.5,grass
2/11/2015,10,21,shrubland,0,0,0,0,0,13,0,0,0,0,0,0,0,2.2,grass
2/11/2015,10,22,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,10,23,shrubland,0,0,0,0,0,3,1,0,0,0,0,0,0,2.1,grass
2/11/2015,10,24,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,10,25,shrubland,0,0,0,1,0,0,0,0,0,0,2,0,0,1.9,forb
2/11/2015,12,1,shrubland,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5,forb
2/11/2015,12,2,shrubland,0,0,0,0,0,1,0,0,0,0,1,0,0,0.4,grass
2/11/2015,12,3,shrubland,0,0,0,0,0,5,0,0,0,0,0,0,0,1,grass
2/11/2015,12,4,shrubland,0,0,0,1,0,0,1,0,0,0,1,0,0,0.7,forb
2/11/2015,12,5,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,12,6,shrubland,0,0,0,0,0,2,1,0,0,0,0,0,0,0.5,forb
2/11/2015,12,7,shrubland,0,0,0,0,0,6,0,0,0,0,0,0,0,0.4,grass
2/11/2015,12,8,shrubland,0,0,0,0,0,3,0,0,0,0,0,0,0,1.2,grass
2/11/2015,12,9,shrubland,0,0,0,0,0,0,2,0,0,0,1,0,0,1.1,forb
2/11/2015,12,10,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,12,11,shrubland,0,0,0,1,0,2,0,0,0,1,0,0,0,1.4,forb
2/11/2015,12,12,shrubland,0,0,0,0,0,0,0,0,1,0,0,0,0,15,forb
2/11/2015,12,13,shrubland,0,0,0,0,0,16,0,0,0,0,0,0,0,1.5,grass
2/11/2015,12,14,shrubland,0,0,0,0,0,1,2,0,0,0,0,0,0,1.5,forb
2/11/2015,12,15,shrubland,0,0,0,0,2,0,0,0,0,0,0,2,0,2,grass
2/11/2015,12,16,shrubland,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1,grass
2/11/2015,12,17,shrubland,0,0,0,0,0,0,0,0,0,0,2,0,0,5.9,forb
2/11/2015,12,18,shrubland,0,0,0,0,0,2,1,0,0,0,0,0,0,2.5,forb
2/11/2015,12,19,shrubland,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,forb
2/11/2015,12,20,shrubland,0,0,0,0,0,1,0,0,0,0,1,0,0,2.7,forb
2/11/2015,12,21,shrubland,0,0,0,0,0,15,0,0,0,1,0,0,0,1.1,grass
2/11/2015,12,22,shrubland,0,0,0,0,0,4,0,0,0,0,1,0,0,2.8,forb
2/11/2015,12,23,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,12,24,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,13,1,shrubland,0,0,0,0,0,14,0,0,0,0,1,0,0,4.8,forb
2/11/2015,13,2,shrubland,0,0,0,0,0,10,0,1,0,0,0,0,0,2.5,grass
2/11/2015,13,3,shrubland,0,0,0,0,1,9,0,0,0,1,0,0,0,8.7,grass
2/11/2015,13,4,shrubland,0,0,0,1,0,3,2,0,1,0,0,0,0,4.3,grass
2/11/2015,13,5,shrubland,0,0,0,0,0,2,0,0,0,0,0,0,0,2.4,grass
2/11/2015,13,6,shrubland,0,0,0,2,0,6,0,0,0,0,0,0,0,2.5,grass
2/11/2015,13,7,shrubland,0,0,0,1,2,4,1,1,0,0,0,0,0,13.4,grass
2/11/2015,13,8,shrubland,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8,grass
2/11/2015,13,9,shrubland,0,0,0,1,0,6,0,0,0,0,2,0,0,4.9,grass
2/11/2015,13,10,shrubland,0,0,0,0,0,6,0,0,0,0,0,0,0,3.1,grass
2/11/2015,13,11,shrubland,0,0,0,1,0,9,0,0,0,0,0,0,0,4.4,grass
2/11/2015,13,12,shrubland,0,0,0,5,0,0,2,0,0,0,1,0,0,1.8,forb
2/11/2015,13,13,shrubland,0,0,0,2,0,1,0,0,1,0,0,0,0,2.5,grass
2/11/2015,13,14,shrubland,0,0,0,0,0,25,0,0,0,0,0,0,0,2.9,grass
2/11/2015,13,15,shrubland,0,0,1,0,0,15,0,0,0,0,0,0,0,2.5,grass
2/11/2015,13,16,shrubland,0,0,2,0,0,8,0,1,0,0,0,0,0,6.6,grass
2/11/2015,13,17,shrubland,0,0,0,0,1,14,0,0,0,1,0,0,0,3.2,grass
2/11/2015,13,18,shrubland,0,0,1,0,0,21,0,0,0,1,0,0,0,3,grass
2/11/2015,13,19,shrubland,0,0,0,5,0,0,0,0,1,0,1,0,0,1.7,forb
2/11/2015,13,20,shrubland,0,0,0,0,0,0,1,0,0,0,2,0,0,7.1,forb
2/11/2015,13,21,shrubland,0,0,0,0,2,4,0,0,0,0,0,0,0,7.5,grass
2/11/2015,13,22,shrubland,0,0,0,3,0,0,2,0,0,0,0,0,0,2.1,forb
2/11/2015,13,23,shrubland,0,0,0,0,0,8,0,0,0,0,0,0,0,2.4,grass
2/11/2015,13,24,shrubland,0,0,0,0,1,15,0,0,0,1,1,0,0,5.3,grass
2/11/2015,13,25,shrubland,0,0,0,0,0,3,0,0,0,0,0,0,0,2.8,grass
2/11/2015,15,1,shrubland,0,0,0,0,0,5,0,0,0,2,0,0,0,4.4,grass
2/11/2015,15,2,shrubland,0,0,0,0,0,0,0,0,0,0,2,0,0,5.5,forb
2/11/2015,15,3,shrubland,0,0,0,0,3,9,0,0,0,2,0,0,0,16.6,grass
2/11/2015,15,4,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,15,5,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,15,6,shrubland,0,0,0,0,0,2,0,0,0,0,0,0,0,2.2,grass
2/11/2015,15,7,shrubland,0,0,0,0,1,35,0,0,0,0,0,0,1,15.4,grass
2/11/2015,15,8,shrubland,0,0,0,0,2,18,0,0,0,0,0,0,0,22.7,grass
2/11/2015,15,9,shrubland,0,0,0,0,0,12,0,0,0,0,0,0,2,23,grass
2/11/2015,15,10,shrubland,0,0,2,0,0,19,0,0,0,0,0,1,0,13,grass
2/11/2015,15,11,shrubland,0,0,0,3,0,2,0,0,0,0,0,0,0,20.8,forb
2/11/2015,15,12,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,15,13,shrubland,0,0,0,0,2,15,0,0,0,0,0,0,0,20,grass
2/11/2015,15,14,shrubland,0,0,0,0,0,0,2,0,0,0,1,0,0,10.8,forb
2/11/2015,15,15,shrubland,0,0,3,0,0,14,0,0,0,1,0,0,0,20.8,grass
2/11/2015,15,16,shrubland,0,0,1,0,0,0,1,0,0,0,0,0,0,5,forb
2/11/2015,15,17,shrubland,0,0,0,0,1,4,0,0,0,0,1,0,0,3.2,grass
2/11/2015,15,18,shrubland,0,0,0,0,0,5,0,0,0,1,0,0,0,7,grass
2/11/2015,15,19,shrubland,0,0,0,0,0,1,0,0,0,0,0,0,0,7.5,grass
2/11/2015,15,20,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,15,21,shrubland,0,0,0,0,0,1,0,0,0,0,3,0,0,9,grass
2/11/2015,15,22,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,15,23,shrubland,0,0,0,0,3,1,0,0,0,0,0,0,0,6,grass
2/11/2015,15,24,shrubland,0,0,0,0,0,3,1,0,0,0,0,0,0,8.2,grass
2/11/2015,15,25,shrubland,0,0,0,2,1,10,1,0,0,0,0,0,0,17.4,grass
2/11/2015,28,1,shrubland,0,0,0,0,0,6,0,0,0,0,1,0,0,4.5,forb
2/11/2015,28,2,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,28,3,shrubland,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4,forb
2/11/2015,28,4,shrubland,0,0,0,0,0,7,0,0,0,0,0,0,0,1.6,grass
2/11/2015,28,5,shrubland,0,0,0,0,0,0,2,0,0,0,1,0,0,4,forb
2/11/2015,28,6,shrubland,0,0,0,0,0,4,0,0,0,0,0,0,0,1.9,grass
2/11/2015,28,7,shrubland,0,0,0,3,0,3,0,0,0,0,1,0,0,1.3,forb
2/11/2015,28,8,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,28,9,shrubland,0,0,0,0,0,2,0,0,0,0,1,0,0,0.7,grass
2/11/2015,28,10,shrubland,0,0,0,0,1,15,0,0,0,0,0,0,0,7.3,grass
2/11/2015,28,11,shrubland,0,0,0,1,0,12,0,0,0,1,0,0,0,6.1,forb
2/11/2015,28,12,shrubland,0,0,0,0,0,7,0,0,0,0,1,0,0,2.1,grass
2/11/2015,28,13,shrubland,0,0,3,1,0,8,0,0,0,0,1,0,0,13.2,grass
2/11/2015,28,14,shrubland,0,0,1,2,0,5,0,0,2,0,0,0,0,8.8,forb
2/11/2015,28,15,shrubland,0,0,0,0,1,3,0,0,0,0,0,0,0,1.7,grass
2/11/2015,28,16,shrubland,0,0,0,0,1,0,0,0,0,0,8,0,0,14.7,grass
2/11/2015,28,17,shrubland,0,0,0,0,0,0,1,0,0,0,3,0,0,6.4,forb
2/11/2015,28,18,shrubland,0,0,0,0,0,0,0,0,0,0,1,0,0,0,forb
2/11/2015,28,19,shrubland,0,0,0,0,0,0,3,0,0,0,1,0,0,3.2,forb
2/11/2015,28,20,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,28,21,shrubland,0,0,0,0,0,0,0,0,0,1,3,0,0,4.2,forb
2/11/2015,28,22,shrubland,0,0,0,0,0,3,0,0,0,0,2,0,0,3.5,grass
2/11/2015,28,23,shrubland,0,0,0,0,1,8,0,0,0,0,0,0,0,8.7,grass
2/11/2015,28,24,shrubland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/11/2015,28,25,shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,5,1,grassland,0,0,0,2,0,1,0,0,1,0,0,0,0,5.9,grass
2/12/2015,5,2,grassland,0,0,0,0,0,3,0,0,0,0,0,0,0,7.3,grass
2/12/2015,5,3,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,5,4,grassland,0,0,3,0,0,11,0,0,0,0,0,0,0,1.5,grass
2/12/2015,5,5,grassland,0,0,3,0,0,16,0,0,0,4,0,0,0,1.9,grass
2/12/2015,5,6,grassland,0,0,0,3,0,2,0,0,0,0,0,0,0,2,grass
2/12/2015,5,7,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,5,8,grassland,0,0,0,0,0,0,2,0,0,0,3,0,0,3.9,forb
2/12/2015,5,9,grassland,0,0,0,2,0,0,0,0,0,0,0,0,0,0.8,forb
2/12/2015,5,10,grassland,0,0,0,5,0,0,0,0,1,0,0,0,0,2.4,forb
2/12/2015,5,11,grassland,0,0,0,6,0,0,0,0,0,0,2,0,0,3.3,forb
2/12/2015,5,12,grassland,0,0,0,0,0,0,0,0,0,0,1,0,0,0,forb
2/12/2015,5,13,grassland,0,0,0,0,0,0,0,0,0,0,1,0,0,5.3,forb
2/12/2015,5,14,grassland,0,0,0,0,0,6,0,0,0,1,0,0,0,0.8,grass
2/12/2015,5,15,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,5,16,grassland,0,0,0,0,0,0,6,0,1,0,0,0,0,3.5,forb
2/12/2015,5,17,grassland,0,0,0,0,0,0,3,0,0,0,2,0,0,2.3,forb
2/12/2015,5,18,grassland,0,0,0,7,0,1,0,0,2,0,0,0,0,3.8,forb
2/12/2015,5,19,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,5,20,grassland,0,0,0,0,0,0,0,0,1,0,0,0,0,2.2,forb
2/12/2015,5,21,grassland,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7,forb
2/12/2015,5,22,grassland,0,0,0,3,0,1,0,0,0,0,0,0,0,3.2,forb
2/12/2015,5,23,grassland,0,0,0,0,0,3,0,0,0,0,0,0,0,1.8,grass
2/12/2015,5,24,grassland,0,0,0,0,0,2,0,0,0,0,0,0,0,0.4,grass
2/12/2015,5,25,grassland,0,0,0,0,0,2,0,0,0,0,0,0,0,1.3,grass
2/12/2015,6,1,grassland,0,0,0,12,0,0,0,0,1,0,2,0,0,11.2,forb
2/12/2015,6,2,grassland,0,0,0,0,0,1,0,0,0,0,1,0,0,1.2,forb
2/12/2015,6,3,grassland,0,0,0,0,0,12,0,0,0,0,0,0,0,1.8,grass
2/12/2015,6,4,grassland,0,0,0,0,1,16,0,0,0,0,0,0,0,2,grass
2/12/2015,6,5,grassland,0,0,0,0,0,16,0,0,0,0,0,0,0,6,grass
2/12/2015,6,6,grassland,0,0,0,0,1,12,2,0,0,0,0,0,0,4.3,forb
2/12/2015,6,7,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,6,8,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,6,9,grassland,0,0,0,0,1,4,0,0,0,0,0,0,0,3.4,grass
2/12/2015,6,10,grassland,0,0,0,0,0,22,0,0,0,1,0,0,0,2.9,grass
2/12/2015,6,11,grassland,0,0,6,0,0,17,0,2,0,2,0,0,0,14.1,grass
2/12/2015,6,12,grassland,0,0,0,0,0,10,0,0,0,0,0,0,0,1.8,grass
2/12/2015,6,13,grassland,0,0,0,0,0,25,0,0,0,0,0,0,0,2.7,grass
2/12/2015,6,14,grassland,0,0,0,0,0,13,0,0,0,0,1,0,0,2.7,grass
2/12/2015,6,15,grassland,0,0,0,0,0,0,3,0,0,0,1,0,0,1.4,forb
2/12/2015,6,16,grassland,0,0,0,0,0,32,0,0,0,1,0,0,0,6.2,grass
2/12/2015,6,17,grassland,0,0,0,0,0,26,0,0,0,0,0,0,0,12.8,grass
2/12/2015,6,18,grassland,0,0,0,0,0,1,2,0,0,0,1,0,0,2.2,forb
2/12/2015,6,19,grassland,0,0,0,0,0,17,0,0,0,1,0,0,0,3,grass
2/12/2015,6,20,grassland,0,0,0,0,0,5,0,0,0,0,0,0,0,7.5,grass
2/12/2015,6,21,grassland,0,0,2,0,0,16,0,0,0,1,0,0,0,6.7,grass
2/12/2015,6,22,grassland,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5,forb
2/12/2015,6,23,grassland,0,0,0,0,0,0,5,0,0,0,3,0,0,5,forb
2/12/2015,6,24,grassland,0,0,0,2,0,2,0,0,0,0,3,0,0,6,forb
2/12/2015,6,25,grassland,0,0,0,6,1,0,0,0,0,0,0,0,0,1.8,grass
2/12/2015,7,1,forest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,grass
2/12/2015,7,2,forest,0,0,0,0,0,2,0,0,0,0,0,0,0,1.2,grass
2/12/2015,7,3,forest,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1,grass
2/12/2015,7,4,forest,0,0,0,0,1,2,0,0,0,0,0,0,0,2.8,grass
2/12/2015,7,5,forest,0,0,0,0,0,4,0,0,0,0,0,0,0,2.1,grass
2/12/2015,7,6,forest,0,0,0,2,0,0,0,0,0,0,0,0,0,1,forb
2/12/2015,7,7,forest,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,
2/12/2015,7,8,forest,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,7,9,forest,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,
2/12/2015,7,10,forest,0,0,0,3,0,0,0,0,1,0,0,0,0,1.2,forb
2/12/2015,7,11,forest,0,0,0,2,0,0,0,0,0,0,0,0,0,8,forb
2/12/2015,7,12,forest,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/12/2015,7,13,forest,0,0,0,0,0,2,0,0,0,0,1,0,0,2.3,forb
2/12/2015,7,14,forest,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,grass
2/12/2015,7,15,forest,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
